thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.998794;0.968089;0.879543;0.773526;0.645972;0.239571;0.093719;0.029995;0.003865;0.003089;0.002805;0.002805;
0.998850;0.963800;0.886361;0.792391;0.653532;0.261547;0.111658;0.042066;0.008020;0.004210;0.002805;0.002805;
0.999908;0.982179;0.874122;0.780756;0.644616;0.263196;0.102137;0.035903;0.006348;0.003120;0.002805;0.002805;
0.998875;0.949436;0.873737;0.786121;0.660362;0.265479;0.104628;0.030806;0.005292;0.003727;0.003038;0.002875;
0.999951;0.986131;0.881045;0.777933;0.649881;0.269754;0.111124;0.036569;0.007523;0.004003;0.002815;0.002815;
0.988303;0.967585;0.889000;0.803433;0.647393;0.289317;0.138876;0.063937;0.026413;0.015046;0.008849;0.003115;
0.999986;0.990785;0.900756;0.824222;0.673306;0.304239;0.143143;0.052471;0.015076;0.006088;0.002815;0.002815;
0.998342;0.957286;0.868745;0.795295;0.626176;0.258691;0.114511;0.038792;0.005697;0.003163;0.002815;0.002815;
0.999467;0.964413;0.878461;0.795924;0.645834;0.267954;0.115680;0.036525;0.006736;0.003749;0.003025;0.002919;
0.998184;0.979851;0.894775;0.802437;0.666733;0.291651;0.138487;0.071838;0.043481;0.031670;0.018989;0.009012;
0.999819;0.988007;0.924344;0.843462;0.677739;0.329898;0.174331;0.086519;0.046984;0.025973;0.010463;0.004988;
0.983011;0.937486;0.855752;0.783454;0.639520;0.295106;0.151787;0.075060;0.037147;0.020864;0.012861;0.008005;
0.995534;0.975595;0.875765;0.784616;0.627181;0.276426;0.119477;0.043288;0.014086;0.005290;0.003402;0.002868;
0.999973;0.992346;0.887533;0.784375;0.614833;0.227054;0.098896;0.033330;0.008120;0.004449;0.003192;0.002873;
0.999937;0.986836;0.872176;0.782923;0.605293;0.250565;0.116505;0.047466;0.018709;0.007151;0.003992;0.002990;
0.996951;0.975187;0.888087;0.808559;0.623063;0.260515;0.121875;0.049453;0.021671;0.015414;0.008732;0.004594;
0.999774;0.986487;0.909983;0.819331;0.637096;0.252268;0.109386;0.047249;0.015781;0.007615;0.003548;0.002833;
0.981513;0.952252;0.845557;0.776916;0.617977;0.260770;0.120827;0.049510;0.019013;0.008266;0.003758;0.002833;
0.999579;0.967472;0.877131;0.805883;0.621835;0.262156;0.121604;0.050095;0.017899;0.007580;0.004645;0.003585;
0.997484;0.969338;0.874252;0.808882;0.639157;0.289783;0.139978;0.056662;0.021112;0.009249;0.003613;0.002933;
0.999980;0.986559;0.887501;0.808320;0.644988;0.298141;0.151501;0.074300;0.034922;0.015229;0.004702;0.003121;
0.999698;0.990242;0.874384;0.791254;0.629367;0.277365;0.132753;0.062534;0.029455;0.015047;0.005904;0.002976;
0.999738;0.975931;0.876931;0.785379;0.601541;0.238190;0.088925;0.023460;0.004189;0.003302;0.002910;0.002810;
0.999561;0.982918;0.898340;0.808277;0.618239;0.229577;0.085968;0.023064;0.005559;0.003328;0.002810;0.002810;
0.999944;0.979174;0.874978;0.786047;0.616262;0.237732;0.098273;0.031993;0.007733;0.004140;0.002911;0.002827;
0.999643;0.980904;0.872045;0.792896;0.637090;0.265632;0.137410;0.082280;0.064020;0.053492;0.040220;0.021997;
0.997356;0.967747;0.867205;0.790088;0.628723;0.245396;0.104004;0.025437;0.005029;0.003104;0.002810;0.002810;
0.999774;0.985524;0.886298;0.791583;0.637123;0.246896;0.100923;0.030871;0.009073;0.005279;0.002810;0.002810;
0.996762;0.975097;0.891028;0.812223;0.643630;0.244210;0.108770;0.035910;0.008771;0.004574;0.002896;0.002896;
