thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
1.000000;0.999961;0.993890;0.987266;0.986536;0.836195;0.605264;0.396722;
0.982598;0.744401;0.455762;0.264727;0.186598;0.114089;0.052236;0.008122;
0.903831;0.586572;0.317432;0.216595;0.133187;0.067428;0.016660;0.000781;
0.815882;0.500143;0.276696;0.191696;0.113662;0.053584;0.009622;0.000023;
0.782865;0.489414;0.276120;0.192458;0.116598;0.052458;0.007653;0.000013;
0.776624;0.492350;0.277126;0.189010;0.111891;0.052295;0.007790;0.000023;
0.779281;0.484160;0.275856;0.188408;0.113594;0.048359;0.004831;0.000000;
0.784876;0.484746;0.273978;0.188815;0.112376;0.051989;0.008298;0.000016;
0.778005;0.486462;0.276048;0.189281;0.113366;0.051680;0.008434;0.000020;
0.779248;0.481126;0.274453;0.189798;0.111377;0.052093;0.008047;0.000020;
0.773600;0.483138;0.274411;0.188844;0.115941;0.052012;0.008265;0.000020;
0.782572;0.491836;0.276976;0.190726;0.112874;0.051149;0.007806;0.000013;
0.791611;0.483783;0.275140;0.191768;0.112721;0.051790;0.008239;0.000016;
0.779980;0.489046;0.277660;0.190719;0.113070;0.051982;0.008662;0.000020;
0.785736;0.486650;0.276536;0.190277;0.112454;0.052327;0.009378;0.000026;
0.793298;0.485439;0.276800;0.189196;0.111123;0.052184;0.008369;0.000020;
0.791328;0.488792;0.279137;0.192738;0.113825;0.052054;0.008555;0.000026;
0.793275;0.497920;0.278324;0.190309;0.112581;0.051289;0.008024;0.000020;
0.787249;0.490993;0.276644;0.190716;0.113324;0.052812;0.008291;0.000026;
0.779098;0.483076;0.274766;0.190189;0.112083;0.052103;0.008936;0.000020;
0.787803;0.486283;0.273167;0.189040;0.112497;0.051976;0.008490;0.000020;
0.778415;0.482741;0.275612;0.189505;0.111413;0.052051;0.008861;0.000020;
0.776058;0.483594;0.276126;0.199186;0.114473;0.051156;0.005794;0.000016;
0.776165;0.496462;0.278906;0.189583;0.112725;0.052100;0.007236;0.000003;
0.776868;0.481445;0.273952;0.188597;0.112243;0.052816;0.008278;0.000020;
0.774844;0.482295;0.272747;0.187959;0.112253;0.052565;0.009242;0.000026;
0.796930;0.487891;0.278643;0.190563;0.112959;0.052308;0.007617;0.000026;
0.778265;0.495410;0.277041;0.190456;0.112393;0.051589;0.007279;0.000010;
0.779870;0.486748;0.276794;0.190293;0.112347;0.049551;0.005368;0.000016;
0.776175;0.489577;0.275824;0.191156;0.115680;0.049082;0.006064;0.000013;
0.779932;0.491315;0.276390;0.192666;0.118424;0.048034;0.004687;0.000000;
0.779473;0.494489;0.274518;0.190137;0.113122;0.050514;0.007035;0.000020;
0.791299;0.489925;0.274668;0.191104;0.113431;0.049808;0.007900;0.000023;
0.785404;0.495524;0.279258;0.193115;0.115036;0.051829;0.006842;0.000016;
0.790729;0.492712;0.279544;0.191816;0.113018;0.050775;0.007656;0.000010;
0.799762;0.492363;0.277174;0.189847;0.114102;0.052575;0.008532;0.000016;
0.794378;0.497428;0.277458;0.192858;0.114831;0.051331;0.007988;0.000013;
0.803105;0.510462;0.284424;0.196221;0.113167;0.050485;0.005947;0.000013;
0.802464;0.491676;0.276810;0.191191;0.112575;0.051292;0.007438;0.000023;
0.813213;0.503949;0.278118;0.193675;0.117067;0.052646;0.008571;0.000023;
0.763151;0.462240;0.267113;0.185404;0.107861;0.045814;0.005850;0.000007;
0.781507;0.487845;0.277230;0.190550;0.115609;0.052917;0.007236;0.000007;
0.798708;0.506872;0.277015;0.194919;0.114984;0.052826;0.008783;0.000020;
0.803740;0.492871;0.277617;0.193548;0.114368;0.052142;0.006855;0.000016;
0.795716;0.519993;0.323350;0.212334;0.121104;0.052887;0.008057;0.000016;
0.789508;0.500267;0.279434;0.192956;0.116029;0.053079;0.007568;0.000016;
0.792344;0.498695;0.282725;0.191488;0.112767;0.051657;0.007246;0.000023;
0.797152;0.499684;0.286198;0.190335;0.113063;0.052799;0.008161;0.000026;
0.791146;0.498070;0.281471;0.193262;0.113587;0.051940;0.008180;0.000020;
0.782793;0.490059;0.276022;0.190049;0.112585;0.051618;0.007510;0.000020;
0.797240;0.502721;0.276279;0.190397;0.113216;0.051211;0.006992;0.000013;
0.787959;0.490749;0.279535;0.192712;0.114928;0.052432;0.008418;0.000013;
0.786436;0.493037;0.276966;0.189980;0.111663;0.052917;0.008324;0.000010;
0.788184;0.484391;0.278825;0.191022;0.113040;0.053324;0.009873;0.000023;
0.784222;0.491003;0.278343;0.191224;0.114723;0.051465;0.007288;0.000016;
0.796107;0.500941;0.281523;0.192334;0.113939;0.051263;0.007510;0.000016;
0.788392;0.492067;0.278154;0.192275;0.116299;0.045583;0.005016;0.000010;
0.788073;0.487741;0.274359;0.190762;0.112507;0.051113;0.005566;0.000000;
0.782533;0.486797;0.273652;0.189893;0.113317;0.051960;0.008870;0.000013;
0.779801;0.487028;0.275928;0.190332;0.113063;0.051663;0.007754;0.000026;
0.789170;0.496895;0.293037;0.208480;0.128662;0.051833;0.007393;0.000020;
0.781182;0.491527;0.277324;0.191794;0.113018;0.051888;0.006862;0.000007;
0.792035;0.495443;0.282438;0.203923;0.112650;0.052920;0.008646;0.000016;
0.782549;0.482438;0.276292;0.190902;0.115501;0.052555;0.008486;0.000016;
0.791826;0.487705;0.283353;0.191520;0.112288;0.052845;0.009027;0.000029;
0.798590;0.496569;0.277158;0.189336;0.111572;0.053353;0.009531;0.000026;
0.796038;0.497340;0.277754;0.188519;0.112956;0.053522;0.009561;0.000023;
0.813564;0.505833;0.284388;0.190114;0.113330;0.053444;0.009212;0.000016;
0.769785;0.466836;0.266055;0.183083;0.108037;0.047822;0.006292;0.000007;
0.805228;0.495785;0.275846;0.193994;0.117708;0.053105;0.009043;0.000029;
0.787627;0.487643;0.277770;0.189352;0.113118;0.050814;0.006312;0.000013;
0.785550;0.486071;0.275661;0.191458;0.111686;0.053392;0.008770;0.000016;
0.779287;0.483512;0.275137;0.188441;0.112184;0.053571;0.009082;0.000033;
0.777295;0.487051;0.275690;0.189368;0.112812;0.052894;0.008490;0.000020;
0.781891;0.491296;0.277357;0.191097;0.113763;0.051807;0.007842;0.000023;
0.786497;0.490879;0.275801;0.191276;0.113460;0.049463;0.007715;0.000023;
0.779528;0.494049;0.279818;0.192946;0.114710;0.051846;0.006982;0.000013;
0.782708;0.494821;0.276820;0.190452;0.112552;0.046517;0.005033;0.000000;
0.776849;0.480433;0.274349;0.189658;0.113516;0.051836;0.008727;0.000023;
0.777767;0.483405;0.276064;0.190924;0.112357;0.052223;0.007467;0.000016;
0.788773;0.489775;0.280560;0.189193;0.112015;0.052337;0.009746;0.000023;
0.786797;0.483626;0.276829;0.188955;0.112757;0.053311;0.008590;0.000020;
0.794727;0.496025;0.276374;0.190208;0.114017;0.053678;0.008617;0.000023;
0.792965;0.496198;0.277370;0.191159;0.112933;0.052705;0.008991;0.000010;
0.797038;0.495902;0.275475;0.190345;0.112962;0.050368;0.007087;0.000016;
0.791849;0.497871;0.276536;0.191875;0.113223;0.052568;0.008428;0.000023;
0.788923;0.505127;0.285485;0.190684;0.112855;0.051543;0.007725;0.000020;
0.787445;0.492139;0.277295;0.195007;0.113411;0.050937;0.006195;0.000020;
0.797887;0.491963;0.276383;0.193311;0.118760;0.052038;0.007917;0.000023;
0.797490;0.494525;0.281670;0.195944;0.112340;0.052207;0.008018;0.000020;
0.793675;0.494131;0.278984;0.190163;0.112936;0.051615;0.008031;0.000007;
0.795915;0.490218;0.275114;0.190195;0.112507;0.051917;0.007637;0.000013;
0.786882;0.481950;0.274876;0.189756;0.114948;0.052100;0.007520;0.000016;
0.793770;0.504186;0.276559;0.192126;0.113311;0.051810;0.007324;0.000020;
0.787031;0.494359;0.278027;0.193727;0.113763;0.051589;0.007129;0.000013;
0.787298;0.488558;0.276029;0.189655;0.111888;0.049613;0.005339;0.000007;
0.794857;0.484629;0.276768;0.191647;0.113724;0.051829;0.008926;0.000016;
0.792523;0.489606;0.276654;0.192656;0.113359;0.051836;0.008747;0.000023;
