Day,Observed intensity, White ratio, Estimated intensity
1,0,0.0007694769965277778,0
1,0,0.013511058666087962,1
1,0,0.0038772560402199076,0
1,0,0.016112336335358798,1
1,0,0.004611183449074074,0
1,0,0.018642659505208332,1
1,0,0.017194675021701387,1
1,0,0.016051513671875,1
1,0,0.018233520507812497,1
1,0,0.02261805103443287,2
1,0,0.00013662832754629629,0
1,0,5.817780671296296e-05,0
1,1,0.03997982222945602,2
1,1,0.01889569317853009,1
1,1,0.07705565049913193,3
1,1,0.057067400896990736,2
1,2,0.025814511899594918,2
1,2,0.05489675112123844,2
1,2,0.04676344581886574,2
1,2,0.091580322265625,3
1,2,0.08932161458333332,3
1,2,0.06719935890480325,2
1,2,0.07780409523292825,3
1,2,0.06354125524450231,2
1,2,0.0729446117259838,3
1,2,0.04726114456741897,2
1,2,0.03518467429832175,2
1,2,0.03983770073784722,2
1,2,0.02664870876736111,2
1,2,0.04711393681278935,2
1,2,0.019504616066261575,1
1,2,0.019053041811342597,1
1,2,0.009613755967881945,0
0,3,0.11827843334056713,3
0,3,0.13649800618489585,3
0,3,0.10538527199074074,3
0,3,0.10286638726128472,3
0,3,0.1212007740162037,3
0,3,0.14251236074942134,3
0,3,0.15226247829861114,3
0,3,0.13065642180266201,3
0,3,0.14443721064814816,3
0,3,0.10993270760995369,3
0,3,0.115019445348669,3
0,3,0.1288331027560764,3
0,3,0.12733335593894676,3
0,3,0.13565137622974538,3
0,3,0.09826834671585648,3
0,3,0.08866400824652777,3
0,3,0.11289326081452547,3
0,3,0.12920922851562502,3
0,3,0.15069557020399305,3
0,3,0.12343638780381945,3
0,3,0.11273902271412038,3
0,3,0.12756745062934027,3
0,3,0.13471143934461802,3
0,3,0.11509421567563657,3
0,3,0.1376724537037037,3
0,3,0.17175660536024304,3
0,3,0.1355985062210648,3
0,3,0.1596385091145833,3
0,3,0.15092897768373845,3
0,0,1.4992042824074073e-05,0
0,0,0.018513201678240738,1
0,0,0.001030178493923611,0
0,0,0.0015205620659722219,0
0,0,0.0012633192274305559,0
0,0,0.061417231807002315,2
0,0,0.006513248881826741,0
0,0,0.013070335105613427,1
0,0,0.0005869547526041666,0
0,0,0.01281389702690972,1
0,0,0.009717533817997687,0
0,0,0.0005576307508680556,0
0,0,0.01867256673177083,1
0,0,0.00025791648582175925,0
0,0,0.006729929345285791,0
0,0,0.01371626790364583,1
0,0,0.01572402162905092,1
0,0,0.010016795970775465,1
0,0,0.015769797996238424,1
0,0,0.006816566103980654,0
0,0,0.0018711027922453701,0
0,0,0.010675256799768518,1
0,0,0.0028868679470486114,0
0,0,8.432131761695905e-05,0
0,0,7.399140211640212e-05,0
0,0,0.0014083116319444445,0
0,0,0.022649147316261577,2
0,0,0.010117567274305553,1
0,0,0.0022148753978587957,0
0,0,0.010515181929976853,1
0,0,0.0006707790798611111,0
0,0,0.01580199291087963,1
0,0,0.009512197989004632,0
0,0,0.00044662786989795917,0
0,0,0.003764477110745614,0
0,0,9.097101658950618e-05,0
0,0,0.017553077980324072,1
0,0,0.00013692220052083332,0
0,0,0.0020573640046296295,0
0,0,0.013842836733217593,1
0,1,0.012486414026331018,1
0,1,0.012685863353587961,1
0,1,0.03421443684895833,2
0,1,0.004597326208043981,0
0,1,0.01904068558304398,1
0,1,0.013196845160590278,1
0,1,0.01975084544994213,1
0,1,0.007944439923321759,0
0,1,0.0116651672979798,1
0,1,0.02290322536892361,2
0,1,0.01542176197193287,1
0,1,0.02619682707609954,2
0,1,0.031079861111111114,2
0,2,0.0328240062572338,2
0,2,0.03544835069444444,2
0,2,0.03626082356770834,2
0,2,0.027852606879340276,2
0,2,0.019707153320312497,1
0,2,0.033089278609664353,2
0,2,0.022126532660590278,2
0,2,0.02023790599681713,2
0,2,0.016826524522569445,1
0,2,0.03233899830005787,2
0,2,0.04104032841435185,2
0,2,0.027229871961805555,2
0,2,0.03910734501591435,2
0,2,0.033319837782118056,2
0,2,0.029115080656828704,2
0,2,0.018763016312210647,1
