thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.148815;0.010352;0.006217;0.001898;0.000319;0.000000;0.000000;0.000000;
0.831061;0.789997;0.595433;0.427113;0.147620;0.026237;0.009134;0.002956;
0.844079;0.806898;0.673434;0.527409;0.266735;0.070238;0.010550;0.003704;
0.837777;0.801247;0.644238;0.508245;0.233574;0.053919;0.008438;0.003213;
0.837640;0.800723;0.640602;0.503519;0.230947;0.052689;0.008304;0.003190;
0.836100;0.799642;0.635238;0.495713;0.217887;0.049053;0.008324;0.003138;
0.836953;0.799876;0.637923;0.494388;0.218542;0.050687;0.008255;0.003112;
0.840179;0.801331;0.650732;0.498288;0.217884;0.052764;0.008219;0.003021;
0.838177;0.801348;0.653936;0.502673;0.229482;0.055361;0.008451;0.003132;
0.838493;0.802887;0.647939;0.497786;0.214404;0.051081;0.008333;0.002985;
0.855990;0.806820;0.647383;0.492539;0.213086;0.049443;0.008242;0.002952;
0.840501;0.801888;0.664245;0.502773;0.228184;0.049544;0.008701;0.003083;
0.837067;0.800934;0.646826;0.508861;0.221631;0.056800;0.008643;0.003001;
0.836790;0.801253;0.648913;0.509818;0.215426;0.050729;0.008877;0.003024;
0.838366;0.801800;0.640443;0.502562;0.233949;0.052607;0.008298;0.002926;
0.838229;0.799954;0.641110;0.504567;0.224268;0.046709;0.008164;0.002939;
0.837096;0.800928;0.647031;0.502152;0.213223;0.046009;0.008802;0.003105;
0.839938;0.804935;0.648949;0.510485;0.219779;0.052699;0.008910;0.002998;
0.849307;0.810433;0.652080;0.512507;0.226074;0.049860;0.008317;0.003037;
0.838646;0.800205;0.638555;0.513704;0.247725;0.057148;0.008799;0.003177;
0.844170;0.801491;0.640426;0.508415;0.253906;0.057126;0.008727;0.003271;
0.845026;0.804756;0.644102;0.519880;0.232500;0.048161;0.008473;0.003031;
0.842233;0.803594;0.647116;0.513376;0.222041;0.040973;0.008327;0.003141;
0.839355;0.800752;0.636032;0.503965;0.216764;0.039229;0.008219;0.003034;
0.849980;0.805664;0.631533;0.505342;0.208857;0.039196;0.008574;0.003268;
0.838018;0.800413;0.633493;0.504460;0.203903;0.038382;0.008405;0.003265;
0.853320;0.807607;0.650726;0.527344;0.228981;0.044391;0.008779;0.003317;
0.841468;0.806064;0.682796;0.525879;0.221305;0.043467;0.008812;0.003229;
0.840257;0.803776;0.652288;0.510898;0.217256;0.046650;0.008701;0.003268;
0.847148;0.806380;0.663766;0.525690;0.250762;0.056344;0.009339;0.003376;
0.839788;0.802829;0.645163;0.509831;0.217523;0.044222;0.008717;0.003311;
0.838857;0.801595;0.641234;0.510365;0.232725;0.044443;0.008714;0.003411;
0.843532;0.804115;0.644281;0.511605;0.241602;0.047640;0.008643;0.003294;
0.842708;0.802826;0.650267;0.522461;0.240762;0.043831;0.008773;0.003210;
0.839238;0.801735;0.637936;0.524375;0.239779;0.046309;0.008913;0.003174;
0.838265;0.800687;0.652793;0.530944;0.237350;0.046107;0.009251;0.003454;
0.837946;0.801139;0.650641;0.524486;0.246660;0.050062;0.009261;0.003424;
0.843044;0.807972;0.659495;0.536090;0.258805;0.050837;0.009137;0.003402;
0.846976;0.809753;0.670937;0.531615;0.247103;0.048701;0.008991;0.003415;
0.858122;0.819115;0.691527;0.534089;0.310928;0.088398;0.012194;0.003398;
0.863792;0.822490;0.692676;0.545954;0.285876;0.064759;0.011110;0.003623;
0.857539;0.817855;0.681221;0.544896;0.274053;0.057448;0.011419;0.003701;
0.863776;0.821204;0.680169;0.545710;0.279414;0.058672;0.010531;0.003867;
0.855687;0.809160;0.665664;0.539440;0.298102;0.055241;0.010882;0.004590;
0.851660;0.811211;0.684268;0.544967;0.265179;0.049867;0.011992;0.004824;
0.856051;0.817842;0.681995;0.538053;0.256243;0.054222;0.011589;0.004652;
0.846325;0.810316;0.669860;0.544814;0.267780;0.059121;0.010846;0.004626;
0.850729;0.809535;0.675918;0.536390;0.272129;0.059932;0.012848;0.004860;
0.854958;0.811051;0.671263;0.534557;0.265671;0.051784;0.011982;0.004883;
0.850605;0.809079;0.663216;0.530254;0.277376;0.060957;0.010755;0.004733;
0.868613;0.828685;0.699564;0.547923;0.287546;0.058643;0.011898;0.004564;
0.851178;0.817539;0.666048;0.552282;0.306328;0.057829;0.012116;0.004814;
0.847171;0.810247;0.672438;0.542962;0.255817;0.050192;0.011654;0.004795;
0.853405;0.815397;0.676149;0.526611;0.255667;0.052067;0.012083;0.004821;
0.851598;0.810889;0.678327;0.533792;0.263226;0.049766;0.011657;0.004759;
0.853900;0.813913;0.681849;0.544281;0.270911;0.062253;0.012562;0.004753;
0.848473;0.810742;0.672669;0.547262;0.263262;0.050801;0.011657;0.004909;
0.851136;0.814661;0.672897;0.545560;0.293669;0.061898;0.012298;0.004883;
0.848174;0.808766;0.663665;0.548538;0.293802;0.054297;0.012158;0.004870;
0.855911;0.814300;0.690602;0.547995;0.283786;0.058477;0.011667;0.004775;
0.859085;0.818200;0.684749;0.549421;0.280700;0.053180;0.011393;0.004779;
0.847474;0.813919;0.674508;0.538714;0.273141;0.050716;0.011442;0.004564;
0.846533;0.813900;0.664515;0.535329;0.259710;0.048490;0.012087;0.004873;
0.851628;0.816729;0.669476;0.538734;0.270602;0.049632;0.011488;0.004697;
0.844066;0.804736;0.676292;0.537266;0.276432;0.053799;0.011133;0.004525;
0.848252;0.810368;0.677106;0.544053;0.282741;0.062445;0.011667;0.004678;
0.865345;0.822822;0.699108;0.574105;0.324538;0.091107;0.012640;0.004518;
0.857734;0.815221;0.705605;0.573750;0.332210;0.083610;0.011934;0.004613;
0.860016;0.819297;0.718385;0.581904;0.331006;0.077380;0.012396;0.004453;
0.858216;0.818242;0.691823;0.556543;0.341354;0.091195;0.013437;0.004818;
0.874010;0.826722;0.726136;0.589284;0.369570;0.096680;0.013184;0.004749;
0.870645;0.828073;0.730042;0.589720;0.339225;0.083753;0.013643;0.004349;
0.875107;0.828662;0.709378;0.575026;0.304671;0.061234;0.011969;0.004587;
0.862350;0.821605;0.690967;0.546647;0.290960;0.068187;0.011777;0.004215;
0.861686;0.819928;0.693148;0.543275;0.301647;0.060492;0.011120;0.004173;
0.872510;0.819756;0.687767;0.554251;0.286725;0.075876;0.011126;0.004212;
0.854655;0.813014;0.692839;0.551523;0.303825;0.069912;0.012090;0.004316;
0.843249;0.809486;0.668662;0.533278;0.256504;0.054284;0.011283;0.004271;
0.845088;0.807458;0.655052;0.517165;0.250176;0.052949;0.011117;0.004382;
0.842435;0.805557;0.645612;0.517292;0.242363;0.047751;0.011130;0.004499;
0.841947;0.805573;0.634824;0.513766;0.222835;0.044069;0.011351;0.004661;
