Day,Observed intensity, White ratio, Estimated intensity
1,0,0.03965138075086805,0
1,0,0.0284261791087963,0
1,0,0.04028555410879636,0
1,0,0.021353818540219893,0
1,0,0.026039595992476905,0
1,0,0.03167731391059031,0
1,0,0.016767627857349643,0
1,0,0.01121318901909718,0
1,0,0.019290861906828716,0
1,0,0.015954856589988464,0
1,0,0.025048805519386597,0
1,0,0.012668095341435148,0
1,0,0.008650074146411946,0
1,0,0.007884349681712977,0
1,0,0.015313562463830976,0
1,0,0.028156313295717605,0
1,0,0.044833713107638895,0
1,0,0.03460803222656256,0
1,0,0.03916276945891212,0
1,0,0.04238117133246522,0
1,0,0.030800378870081024,0
1,0,0.03461140776631505,0
1,0,0.0015186089409722214,0
1,0,0.035965919777199096,0
1,0,0.02364854148582174,0
1,0,0.046229786060474565,0
1,0,0.04767205584490741,0
1,0,0.01116028284143522,0
1,0,0.026189358181423594,0
1,0,0.03463348614728007,0
1,0,0.054326714409722254,1
1,1,0.17447775607638893,2
1,1,0.19379299135561345,2
1,1,0.20896218532986116,2
1,1,0.2561974781177661,2
1,1,0.21867513272006817,2
1,1,0.22677915219907402,2
1,1,0.2262474952980325,2
1,1,0.14919820601851852,2
1,1,0.1554096724898727,2
1,1,0.21510977737991904,2
1,1,0.20183113606770842,2
1,1,0.1798444417317709,2
1,1,0.19960786946614584,2
1,1,0.20426387080439812,2
1,1,0.19933260091145832,2
1,1,0.15026237883391197,2
1,1,0.15742103859230333,2
1,1,0.170436839916088,2
1,1,0.19626007758246533,2
1,1,0.18239470305266203,2
1,1,0.2462438919632523,2
1,1,0.29706515389901617,2
1,1,0.27879961932146985,2
1,1,0.2335984519675926,2
1,1,0.18876798050491905,2
1,2,0.25806248643663204,2
1,2,0.29514381691261565,2
1,2,0.32622048611111115,2
1,2,0.3193541621455441,2
1,2,0.35024554217303233,2
1,2,0.3438869176793982,2
1,2,0.29788542570891213,2
1,2,0.30490509259259263,2
1,2,0.3254913194444445,2
1,2,0.3319230911820022,2
1,2,0.32305592628761576,2
1,2,0.30992409487123845,2
0,0,0.036889530888310235,0
0,0,0.0357537525318288,0
0,0,0.0353025942201968,0
0,0,0.037783379448784765,0
0,0,0.04318765371817132,0
0,0,0.045388780381944466,0
0,0,0.04232857259114589,0
0,0,0.04927324761284721,0
0,0,0.04821944173177087,0
0,0,0.04528124095775468,0
0,0,0.020503056278935256,0
0,0,0.03649761736834492,0
0,0,0.038312893337673654,0
0,0,0.05830551486545141,1
0,0,0.06375232385706023,1
0,0,0.055464170102719895,1
0,0,0.030740998444733852,0
0,0,0.04335319010416669,0
0,0,0.13191751211660876,2
0,0,0.1676875316478588,2
0,0,0.1816506438078704,2
0,0,0.16620031286168982,2
0,0,0.16469176793981485,2
0,0,0.16847876880787035,2
0,0,0.14188142903645837,2
0,0,0.12001603642216438,2
0,0,0.13804410355179395,2
0,0,0.0941395534939237,1
0,1,0.17014841941550926,2
0,1,0.2401495632595487,2
0,1,0.25815223524305553,2
0,1,0.26196378580729174,2
0,1,0.2503837981047453,2
0,1,0.266882685908565,2
0,1,0.24207289406105328,2
0,1,0.24325515407986117,2
0,1,0.24085016547309027,2
0,1,0.2454681712962963,2
0,1,0.24620643898292824,2
0,1,0.2469022714120371,2
0,1,0.2521732042100695,2
0,1,0.27026466652199077,2
0,1,0.27144686324508105,2
0,1,0.24011618381076386,2
0,1,0.21311683937355322,2
0,1,0.21980776186342596,2
0,1,0.2251513988353588,2
0,1,0.2324589708116319,2
0,2,0.4207030481409143,2
0,2,0.42884488932291676,2
0,2,0.46162104853877317,2
0,2,0.4701212791160303,2
0,2,0.4434931188512732,2
0,2,0.46474409541377315,2
0,2,0.4683940248842595,2
0,2,0.4730605604383681,2
0,2,0.44112443938078727,2
0,2,0.45435006148726864,2
0,2,0.43150576443142374,2
0,2,0.4172267071759258,2
0,2,0.44942268880208336,2
0,2,0.41097986291956023,2
0,2,0.42692308213975694,2
0,2,0.44787304687499996,2
0,2,0.4233343098958333,2
0,2,0.37053084762008104,2
0,2,0.39633232512297467,2
0,2,0.43778449164496547,2
0,2,0.267896873191551,2
0,2,0.4196620008680557,2
0,2,0.4435936460141783,2
0,2,0.4454904423466436,2
0,2,0.40781499113859965,2
0,2,0.3547053403501157,2
0,2,0.40015933792679403,2
0,2,0.3991625614872686,2
0,2,0.41999874312789354,2
0,2,0.42522964590567147,2
0,2,0.40723959689670153,2
0,2,0.41176482024016225,2
0,2,0.3685792326750579,2
0,2,0.4202259476273149,2
0,2,0.4103794352213542,2
0,2,0.37977359573929415,2
0,2,0.3643045518663196,2
0,2,0.29643053294994215,2
0,2,0.3768776267722803,2
0,2,0.35491139051649323,2
0,2,0.2582371012369792,2
0,2,0.3661884765625002,2
0,2,0.39113225188078726,2
0,2,0.3880919234664352,2
0,2,0.3389906457971644,2
0,2,0.3649347285517941,2
0,2,0.28973302770543985,2
0,2,0.3600088116681135,2
0,2,0.34195519567418986,2
0,2,0.300554529260706,2
0,2,0.3368356029369214,2
0,2,0.31785843460648155,2
0,2,0.28708539948640055,2
0,2,0.32758115415219924,2
0,2,0.3504983497902199,2
0,2,0.35102805808738435,2
0,2,0.33574771231192146,2
0,2,0.32960296856915505,2
0,2,0.40224362521701407,2
0,2,0.40599541558159724,2
