thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.428168;0.176927;0.064920;0.022452;0.012972;0.006878;0.004453;0.004312;
0.495050;0.240119;0.130962;0.079399;0.056999;0.043478;0.030961;0.019881;
0.462019;0.197383;0.084343;0.026780;0.014171;0.006517;0.004478;0.004352;
0.471080;0.203667;0.093799;0.031489;0.008733;0.004486;0.004455;0.004381;
0.438519;0.172572;0.066105;0.018117;0.006732;0.004478;0.004456;0.004388;
0.495913;0.214443;0.102863;0.043983;0.029748;0.019454;0.011313;0.007289;
0.446898;0.204704;0.101259;0.049025;0.034364;0.025594;0.009160;0.004632;
0.450089;0.199090;0.093746;0.031326;0.014764;0.005502;0.004458;0.004418;
0.504579;0.251671;0.122944;0.056213;0.025903;0.012531;0.006294;0.004475;
0.431469;0.212768;0.118716;0.060694;0.037465;0.021284;0.013395;0.007913;
0.406049;0.164136;0.070634;0.027768;0.013841;0.006313;0.004478;0.004440;
0.432100;0.189126;0.089006;0.038032;0.022310;0.016535;0.011194;0.004536;
0.406499;0.172214;0.080103;0.029280;0.011109;0.005838;0.004799;0.004449;
0.432381;0.178514;0.070247;0.023730;0.011990;0.004713;0.004482;0.004454;
0.420029;0.174029;0.069159;0.015037;0.005554;0.004499;0.004483;0.004452;
0.419878;0.160683;0.060301;0.016168;0.006110;0.004499;0.004487;0.004458;
0.403650;0.147587;0.052719;0.011347;0.006707;0.004499;0.004489;0.004461;
0.434505;0.173176;0.066361;0.019950;0.010522;0.005254;0.004547;0.004463;
0.442705;0.184997;0.070264;0.019822;0.009015;0.005798;0.004495;0.004468;
0.472190;0.239107;0.124370;0.071860;0.060085;0.053316;0.040352;0.026794;
0.401053;0.166340;0.073594;0.028448;0.013408;0.006575;0.004491;0.004473;
0.449012;0.210162;0.088037;0.027403;0.011729;0.005447;0.004492;0.004475;
0.431544;0.194702;0.101833;0.053998;0.036944;0.019224;0.009501;0.004471;
0.411391;0.166538;0.058050;0.011092;0.004605;0.004509;0.004489;0.004473;
0.445277;0.185111;0.076223;0.017703;0.007384;0.004821;0.004480;0.004380;
0.446802;0.187237;0.068716;0.019586;0.008563;0.004915;0.004480;0.004380;
0.428481;0.172528;0.061353;0.010990;0.006188;0.004555;0.004478;0.004395;
0.419919;0.169146;0.062476;0.016914;0.009353;0.004733;0.004480;0.004412;
0.474056;0.229084;0.121620;0.059788;0.041605;0.031965;0.022773;0.014883;
0.409838;0.160633;0.065175;0.021166;0.010263;0.007257;0.005988;0.004737;
0.430606;0.181336;0.073109;0.021983;0.011588;0.007753;0.005468;0.004953;
0.380106;0.144953;0.050290;0.012131;0.006041;0.004570;0.004483;0.004440;
0.468124;0.230595;0.134571;0.089856;0.067536;0.044424;0.026284;0.013409;
0.417471;0.192551;0.101026;0.051663;0.032107;0.020908;0.011774;0.008025;
0.484172;0.229589;0.110370;0.039175;0.013789;0.007497;0.005599;0.004593;
0.458321;0.192656;0.072955;0.019074;0.008424;0.005193;0.004494;0.004456;
0.445798;0.180063;0.079246;0.033988;0.018867;0.009390;0.005554;0.004458;
0.481839;0.222223;0.108570;0.053803;0.036092;0.024143;0.012713;0.004746;
0.438664;0.175919;0.080318;0.029607;0.016017;0.011865;0.007505;0.005075;
0.494323;0.231622;0.105993;0.048669;0.021758;0.011130;0.007284;0.004483;
0.437355;0.210831;0.090850;0.026532;0.008035;0.005860;0.004887;0.004467;
0.410049;0.162413;0.057848;0.009622;0.004888;0.004508;0.004502;0.004475;
0.427814;0.169553;0.070515;0.024626;0.012933;0.009780;0.006423;0.004478;
0.442264;0.200286;0.086064;0.030244;0.016626;0.010267;0.006823;0.004506;
0.407835;0.161042;0.066791;0.028230;0.018938;0.013458;0.009795;0.005432;
