thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240
0,92569;0,785225;0,670186;0,457458;0,308717;0,138669;0;0
0,927604;0,786722;0,668564;0,456579;0,307207;0,136416;0;0
0,930452;0,788363;0,671615;0,468516;0,321582;0,145706;0;0
0,93029;0,789017;0,670798;0,470716;0,322897;0,147217;0;0
0,930156;0,790592;0,670837;0,471257;0,323799;0,148193;0;0
0,929909;0,790391;0,673122;0,467682;0,321628;0,147015;0;0
0,929095;0,787588;0,668802;0,466348;0,321335;0,147461;0;0
0,929219;0,787057;0,668278;0,466162;0,320745;0,147113;0;0
0,929183;0,787594;0,669333;0,467321;0,321657;0,147399;0;0
0,930602;0,789775;0,672129;0,471387;0,325433;0,150277;0;0
0,931442;0,790895;0,672461;0,474473;0,326878;0,150947;0;0
0,93124;0,790101;0,670801;0,471543;0,327614;0,151279;0;0
0,930387;0,788867;0,670479;0,470755;0,326742;0,150596;0;0
0,929928;0,788857;0,670176;0,470352;0,325465;0,149626;0;0
0,929896;0,789079;0,670592;0,470234;0,326201;0,148607;0;0
0,931084;0,789818;0,672568;0,471468;0,327064;0,148757;0;0
0,931969;0,79054;0,670508;0,469658;0,324538;0,145046;0;0
0,935654;0,794036;0,67599;0,476462;0,327734;0,145749;0;0
0,937555;0,796956;0,677979;0,47972;0,330635;0,147822;0;0
0,939235;0,79835;0,678968;0,478363;0,329759;0,145736;0;0
0,941973;0,801266;0,680423;0,478496;0,327617;0,141943;0;0
0,944886;0,806364;0,687155;0,487708;0,334398;0,148128;0;0
