thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.999988;0.998210;0.993452;0.744001;0.214352;0.090828;0.064359;0.045120;0.022582;0.010550;
0.999995;0.998197;0.993714;0.753912;0.214194;0.090771;0.064408;0.045116;0.022579;0.010531;
0.999990;0.998192;0.993734;0.755175;0.214016;0.090804;0.064417;0.045077;0.022610;0.010533;
0.999992;0.998186;0.993854;0.755801;0.214010;0.090684;0.064422;0.045040;0.022620;0.010514;
0.999992;0.998220;0.994008;0.755755;0.214208;0.090689;0.064434;0.045090;0.022586;0.010515;
0.999996;0.998196;0.994009;0.756161;0.214303;0.090820;0.064427;0.045111;0.022673;0.010510;
0.999993;0.998200;0.993957;0.758189;0.214000;0.090602;0.064408;0.045040;0.022711;0.010503;
0.999997;0.998235;0.994055;0.757930;0.214599;0.090833;0.064446;0.045123;0.022644;0.010516;
0.999998;0.998244;0.994040;0.758496;0.214723;0.090800;0.064425;0.045162;0.022699;0.010515;
0.999996;0.998256;0.994090;0.758530;0.214705;0.090878;0.064472;0.045153;0.022777;0.010530;
0.999995;0.998248;0.994212;0.760492;0.214434;0.090971;0.064507;0.045190;0.022754;0.010531;
0.999993;0.998236;0.994395;0.763853;0.214622;0.090578;0.064494;0.045239;0.022703;0.010528;
0.999997;0.998280;0.993838;0.752186;0.216187;0.091266;0.064459;0.045318;0.022656;0.010512;
0.999985;0.998116;0.993343;0.746611;0.212961;0.090278;0.064377;0.045125;0.022535;0.010511;
0.999986;0.998173;0.993601;0.752337;0.213211;0.090250;0.064378;0.045110;0.022578;0.010520;
0.999985;0.998172;0.993734;0.752284;0.213032;0.090188;0.064375;0.045184;0.022563;0.010485;
0.999984;0.998176;0.993728;0.752407;0.213171;0.089976;0.064366;0.045152;0.022492;0.010485;
0.999987;0.998146;0.993677;0.752191;0.212198;0.089811;0.064282;0.045080;0.022474;0.010481;
0.999984;0.998123;0.993479;0.749327;0.212087;0.089953;0.064298;0.045015;0.022447;0.010468;
0.999986;0.998120;0.993485;0.749470;0.211775;0.089936;0.064278;0.045026;0.022472;0.010489;
0.999987;0.998083;0.993571;0.749902;0.211539;0.089513;0.064264;0.045014;0.022410;0.010485;
0.999982;0.998084;0.993415;0.747559;0.211794;0.089461;0.064257;0.044986;0.022441;0.010484;
0.999985;0.998097;0.993314;0.747267;0.211709;0.089277;0.064253;0.044944;0.022435;0.010531;
0.999988;0.998085;0.993508;0.750369;0.211311;0.088983;0.064286;0.044925;0.022501;0.010530;
0.999976;0.998081;0.992760;0.734741;0.211839;0.090037;0.064298;0.044956;0.022376;0.010550;
0.999988;0.998105;0.993112;0.746574;0.212311;0.090114;0.064304;0.044936;0.022424;0.010551;
0.999990;0.998122;0.993239;0.747547;0.212287;0.090346;0.064320;0.044932;0.022497;0.010539;
0.999987;0.998125;0.993270;0.748749;0.212559;0.090579;0.064321;0.044973;0.022486;0.010541;
0.999983;0.998117;0.993448;0.749439;0.212924;0.090693;0.064341;0.045046;0.022635;0.010505;
0.999987;0.998143;0.993413;0.749544;0.213110;0.090857;0.064327;0.045023;0.022572;0.010501;
0.999989;0.998142;0.993499;0.750132;0.212741;0.091021;0.064348;0.045000;0.022597;0.010494;
0.999986;0.998173;0.993541;0.750578;0.213077;0.091170;0.064336;0.045067;0.022576;0.010496;
0.999991;0.998153;0.993640;0.753012;0.212908;0.091230;0.064338;0.044944;0.022599;0.010509;
0.999989;0.998116;0.993596;0.750986;0.213130;0.091465;0.064337;0.045015;0.022616;0.010508;
0.999990;0.998127;0.993645;0.750974;0.213606;0.091637;0.064345;0.044945;0.022560;0.010515;
0.999992;0.998118;0.994262;0.762300;0.223222;0.099086;0.069743;0.049238;0.025179;0.011852;
0.999980;0.998122;0.993343;0.770754;0.248812;0.119504;0.085110;0.061784;0.035398;0.017577;
0.999985;0.997782;0.979926;0.738689;0.264882;0.134089;0.094018;0.061478;0.036853;0.021994;
0.999986;0.998060;0.985765;0.702652;0.256791;0.132401;0.096339;0.069491;0.044774;0.032487;
