thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.143000;0.074552;0.038723;0.018843;0.005157;0.000773;0.000016;0.000000;0.000000;0.000000;0.000000;0.000000;
0.098832;0.046814;0.024523;0.009448;0.003845;0.001351;0.000110;0.000000;0.000000;0.000000;0.000000;0.000000;
0.128150;0.070370;0.044697;0.033243;0.026974;0.019574;0.012071;0.006492;0.004735;0.003161;0.001424;0.000434;
0.121187;0.054257;0.018130;0.004127;0.000446;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.124862;0.063243;0.025054;0.005474;0.001526;0.000162;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;
0.155406;0.097201;0.065211;0.038631;0.022820;0.014465;0.009441;0.005998;0.004176;0.002503;0.000565;0.000002;
0.143710;0.069154;0.030356;0.012360;0.005604;0.002112;0.000428;0.000018;0.000000;0.000000;0.000000;0.000000;
0.122509;0.065267;0.045114;0.031634;0.016608;0.005726;0.001593;0.000000;0.000000;0.000000;0.000000;0.000000;
0.112635;0.055495;0.030650;0.012733;0.005285;0.002369;0.000908;0.000000;0.000000;0.000000;0.000000;0.000000;
0.078353;0.033223;0.010015;0.001210;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.089477;0.041939;0.021556;0.010337;0.003580;0.000498;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.167033;0.108757;0.084928;0.070067;0.055648;0.035879;0.023703;0.014453;0.004301;0.001012;0.000000;0.000000;
0.117648;0.059447;0.030456;0.014990;0.005715;0.001431;0.000413;0.000000;0.000000;0.000000;0.000000;0.000000;
0.172169;0.105808;0.065817;0.031672;0.013342;0.006961;0.002869;0.000313;0.000000;0.000000;0.000000;0.000000;
0.180516;0.111294;0.073367;0.052499;0.034453;0.017198;0.005009;0.001174;0.000193;0.000000;0.000000;0.000000;
0.154699;0.085461;0.044168;0.020073;0.006134;0.002983;0.001939;0.000801;0.000074;0.000000;0.000000;0.000000;
0.170244;0.094587;0.057491;0.040928;0.028256;0.018202;0.008799;0.004118;0.000723;0.000015;0.000000;0.000000;
0.100588;0.047651;0.021829;0.006661;0.002038;0.000446;0.000005;0.000000;0.000000;0.000000;0.000000;0.000000;
0.137355;0.078491;0.042448;0.019311;0.006809;0.001209;0.000293;0.000184;0.000086;0.000000;0.000000;0.000000;
0.179499;0.113475;0.079052;0.054323;0.034383;0.020357;0.008486;0.002435;0.000521;0.000130;0.000000;0.000000;
0.243483;0.167804;0.119027;0.085845;0.057283;0.034006;0.021207;0.011451;0.003103;0.000855;0.000002;0.000000;
0.208006;0.127409;0.086686;0.057601;0.032507;0.016674;0.008915;0.003964;0.001670;0.000105;0.000000;0.000000;
0.258090;0.185031;0.130672;0.087380;0.053123;0.031330;0.014052;0.005334;0.001478;0.000113;0.000000;0.000000;
0.245060;0.144431;0.087056;0.050248;0.027099;0.014398;0.005955;0.002232;0.000612;0.000010;0.000000;0.000000;
0.211257;0.128847;0.071465;0.037852;0.019825;0.008933;0.004090;0.001788;0.000633;0.000049;0.000000;0.000000;
0.154956;0.091383;0.052590;0.024978;0.011009;0.005296;0.002424;0.001051;0.000000;0.000000;0.000000;0.000000;
0.112028;0.050779;0.021396;0.004812;0.000370;0.000011;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.154062;0.086967;0.052553;0.033483;0.017141;0.008651;0.006656;0.001807;0.000000;0.000000;0.000000;0.000000;
0.157274;0.093169;0.064106;0.045927;0.035604;0.024601;0.014204;0.006247;0.000201;0.000000;0.000000;0.000000;
0.145520;0.082001;0.045148;0.022713;0.010949;0.006048;0.002772;0.000386;0.000000;0.000000;0.000000;0.000000;
0.083674;0.044766;0.028741;0.021990;0.014095;0.008294;0.004312;0.003072;0.001315;0.000143;0.000000;0.000000;
0.097860;0.046681;0.024280;0.010004;0.002065;0.000101;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.077007;0.039625;0.018707;0.007082;0.002467;0.000388;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.155873;0.097139;0.057194;0.033848;0.020089;0.013342;0.008529;0.004672;0.000902;0.000000;0.000000;0.000000;
0.120967;0.066349;0.037811;0.023097;0.012511;0.003937;0.000322;0.000000;0.000000;0.000000;0.000000;0.000000;
0.222786;0.143277;0.091635;0.056727;0.037599;0.021425;0.007936;0.001811;0.000115;0.000000;0.000000;0.000000;
0.190429;0.113646;0.064569;0.034912;0.015624;0.006276;0.001744;0.000281;0.000002;0.000000;0.000000;0.000000;
0.176587;0.103612;0.054524;0.024112;0.007134;0.002196;0.000582;0.000000;0.000000;0.000000;0.000000;0.000000;
0.174945;0.106648;0.071140;0.049785;0.034862;0.023739;0.013470;0.009154;0.005425;0.002074;0.000289;0.000000;
0.104674;0.053806;0.032079;0.016937;0.009199;0.003615;0.000550;0.000015;0.000000;0.000000;0.000000;0.000000;
0.092642;0.050368;0.023563;0.009476;0.004110;0.001304;0.000140;0.000026;0.000000;0.000000;0.000000;0.000000;
0.161794;0.092716;0.054035;0.029005;0.015090;0.008160;0.003288;0.001137;0.000044;0.000000;0.000000;0.000000;
0.082042;0.035433;0.016530;0.007887;0.002942;0.000872;0.000140;0.000000;0.000000;0.000000;0.000000;0.000000;
0.148368;0.084242;0.052160;0.034438;0.024061;0.018325;0.013149;0.007127;0.001883;0.000029;0.000000;0.000000;
0.053062;0.019771;0.004643;0.000788;0.000051;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.051953;0.018961;0.006226;0.001710;0.000587;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.093214;0.044857;0.024627;0.010849;0.001600;0.000394;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;
