thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
1.000000;0.999723;0.990173;0.988145;0.985199;0.800501;0.567119;0.367067;
0.985951;0.732139;0.471048;0.270150;0.185635;0.115120;0.059346;0.018363;
0.888363;0.573135;0.322936;0.209183;0.133408;0.071764;0.022549;0.001592;
0.856956;0.550407;0.308643;0.201410;0.127471;0.067100;0.018678;0.001012;
0.841217;0.538265;0.302269;0.196260;0.122943;0.063727;0.016449;0.000739;
0.841986;0.537891;0.301276;0.196299;0.123014;0.064115;0.016458;0.000661;
0.840736;0.537350;0.300824;0.195915;0.122904;0.063779;0.016484;0.000700;
0.835231;0.532249;0.298779;0.195573;0.122477;0.063646;0.016217;0.000684;
0.808581;0.512744;0.288418;0.191426;0.118454;0.060625;0.014583;0.000407;
0.810469;0.513467;0.288158;0.191510;0.118122;0.060544;0.014570;0.000387;
0.847500;0.541732;0.303008;0.198184;0.125277;0.065091;0.017549;0.000937;
0.854248;0.543743;0.303815;0.199268;0.125553;0.065433;0.017796;0.000928;
0.821497;0.516563;0.289014;0.192012;0.118630;0.060853;0.014788;0.000420;
0.814235;0.511755;0.287360;0.191029;0.118037;0.060192;0.014238;0.000322;
0.814274;0.511738;0.287301;0.191051;0.118353;0.060117;0.014385;0.000378;
0.849173;0.540111;0.301628;0.198490;0.125114;0.064948;0.017337;0.000941;
0.848245;0.539710;0.302751;0.198490;0.124977;0.064788;0.017090;0.000785;
0.855283;0.542350;0.303538;0.198929;0.125335;0.065114;0.017503;0.000781;
0.820439;0.517868;0.290335;0.191956;0.118568;0.060439;0.014906;0.000433;
0.818639;0.519183;0.290059;0.191790;0.118451;0.060179;0.013672;0.000283;
0.811533;0.513874;0.287988;0.191628;0.118848;0.059131;0.012975;0.000111;
0.809105;0.514154;0.288548;0.191611;0.118132;0.058962;0.012126;0.000065;
0.809447;0.515016;0.288607;0.192699;0.122712;0.058877;0.012178;0.000091;
0.812507;0.518786;0.289525;0.193936;0.118646;0.059495;0.013434;0.000391;
