thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.789756;0.764193;0.724710;0.695833;0.668691;0.638535;0.597119;0.535430;
0.779603;0.754300;0.718363;0.683783;0.654495;0.623558;0.580163;0.530322;
0.792435;0.764010;0.710426;0.659007;0.626410;0.594173;0.556276;0.505716;
0.791517;0.762855;0.706068;0.646442;0.606787;0.572327;0.538568;0.486032;
0.785231;0.754961;0.700348;0.628965;0.588044;0.554274;0.520521;0.467461;
0.787240;0.759316;0.705124;0.618597;0.574404;0.538802;0.504150;0.451650;
0.790244;0.761598;0.709206;0.621289;0.575055;0.538929;0.503421;0.451130;
0.797025;0.764209;0.718932;0.626488;0.577952;0.543398;0.507422;0.455290;
0.810609;0.777227;0.729069;0.652005;0.593984;0.556045;0.520788;0.468890;
0.828454;0.791527;0.742018;0.673213;0.597952;0.556543;0.518753;0.466338;
0.851556;0.827087;0.771755;0.666130;0.584948;0.542344;0.505335;0.452484;
0.864342;0.836637;0.778558;0.658480;0.579756;0.536488;0.497725;0.443060;
0.875882;0.849691;0.786064;0.649212;0.570667;0.530029;0.490449;0.436077;
0.877725;0.846722;0.788337;0.645218;0.567813;0.530413;0.492575;0.439336;
0.878206;0.846257;0.775677;0.635225;0.572012;0.538135;0.501191;0.448327;
0.873574;0.836846;0.757995;0.625117;0.570996;0.538760;0.502507;0.450661;
0.865635;0.826598;0.733802;0.616455;0.569473;0.538008;0.503141;0.451569;
0.852113;0.811934;0.704616;0.604147;0.560898;0.532295;0.493773;0.443682;
0.841624;0.798929;0.676979;0.584707;0.546803;0.517773;0.474990;0.425833;
0.837933;0.794095;0.659528;0.567513;0.529053;0.500449;0.456787;0.408743;
0.837389;0.795231;0.657773;0.564492;0.525817;0.496862;0.452269;0.404010;
0.836351;0.790765;0.644678;0.555078;0.517441;0.488691;0.440872;0.394368;
0.836501;0.789209;0.638789;0.548151;0.511751;0.483822;0.433099;0.387077;
0.833724;0.789801;0.643649;0.552119;0.514427;0.486650;0.436432;0.391862;
0.832288;0.787461;0.641934;0.552992;0.516686;0.488187;0.435075;0.390902;
0.831377;0.785993;0.651634;0.565254;0.526413;0.497552;0.444128;0.400046;
0.833994;0.787868;0.659417;0.570758;0.529616;0.499157;0.444235;0.396995;
0.838047;0.791634;0.688141;0.583678;0.537184;0.505521;0.450335;0.402467;
0.842708;0.794264;0.703392;0.589821;0.538818;0.505358;0.449297;0.400664;
0.852311;0.803122;0.717074;0.605251;0.544482;0.502799;0.443848;0.392340;
0.856302;0.806673;0.718945;0.619733;0.546562;0.502256;0.442803;0.389154;
0.863395;0.814473;0.725381;0.659010;0.559443;0.516120;0.452780;0.395785;
0.868314;0.820970;0.737952;0.679668;0.592878;0.548063;0.485713;0.427565;
0.869111;0.829020;0.761686;0.689118;0.628239;0.585544;0.522135;0.464372;
0.858343;0.824769;0.765296;0.693516;0.639945;0.599505;0.540091;0.482646;
0.858350;0.824961;0.764655;0.696162;0.644922;0.604378;0.545423;0.487910;
0.856227;0.822913;0.763870;0.701383;0.649059;0.608096;0.548226;0.491615;
0.854753;0.820882;0.762292;0.704072;0.650967;0.609443;0.549596;0.493229;
0.849499;0.815544;0.760283;0.705091;0.653490;0.612256;0.552308;0.495918;
0.847077;0.813669;0.760775;0.705902;0.654886;0.613490;0.553678;0.497393;
0.842620;0.809274;0.762630;0.707132;0.657900;0.616403;0.556742;0.500199;
0.836478;0.802900;0.760785;0.707269;0.660983;0.620133;0.560765;0.503815;
0.834121;0.800335;0.759173;0.705726;0.662796;0.622832;0.562520;0.505589;
0.828835;0.794352;0.756602;0.702910;0.663730;0.626344;0.565843;0.509424;
0.828389;0.793818;0.756156;0.700098;0.664427;0.627578;0.566891;0.510452;
0.831077;0.796771;0.757002;0.701071;0.667712;0.630885;0.569967;0.512575;
0.833926;0.800189;0.760540;0.704186;0.670228;0.632946;0.571556;0.514368;
0.838298;0.805605;0.766048;0.709753;0.674948;0.637002;0.575020;0.517529;
0.842122;0.810186;0.768711;0.713200;0.678005;0.639466;0.576979;0.519701;
0.844951;0.812432;0.769668;0.714362;0.679027;0.640586;0.578278;0.520078;
0.850674;0.818525;0.774697;0.717988;0.680983;0.642191;0.579437;0.521344;
0.852992;0.821484;0.777448;0.719440;0.681462;0.642699;0.579619;0.521224;
0.857663;0.825814;0.786390;0.722904;0.682373;0.643623;0.579665;0.521214;
0.859548;0.827402;0.790270;0.725680;0.683031;0.643932;0.579766;0.521354;
0.862653;0.829600;0.792279;0.730407;0.685413;0.645322;0.580273;0.521442;
0.862913;0.829023;0.791917;0.730270;0.686016;0.645749;0.580817;0.521960;
0.866237;0.831364;0.793861;0.729772;0.686680;0.646589;0.581117;0.522223;
0.872054;0.836396;0.796455;0.730218;0.686589;0.646849;0.581383;0.522725;
0.874870;0.838486;0.795798;0.731423;0.687139;0.647132;0.581787;0.522933;
0.876956;0.839456;0.793838;0.732835;0.687158;0.647500;0.582152;0.523480;
0.876084;0.837620;0.793112;0.732926;0.687692;0.647972;0.582689;0.523750;
0.871341;0.831501;0.794072;0.729909;0.687051;0.647578;0.582246;0.523695;
0.865960;0.824202;0.789492;0.727331;0.685641;0.646484;0.581618;0.522949;
0.864525;0.822467;0.788076;0.726559;0.685573;0.646361;0.581429;0.523099;
0.862689;0.820254;0.786250;0.725384;0.684632;0.644997;0.580954;0.522620;
0.861315;0.818577;0.785231;0.724697;0.683092;0.644248;0.580589;0.522148;
0.861670;0.819128;0.785225;0.725306;0.683493;0.645638;0.582438;0.525160;
0.861501;0.818802;0.785228;0.724580;0.683942;0.647165;0.584743;0.528506;
0.862113;0.819977;0.785596;0.725479;0.685156;0.649411;0.587441;0.532191;
0.862360;0.820589;0.786035;0.725999;0.685973;0.650703;0.589603;0.534870;
0.862871;0.822181;0.786504;0.727106;0.687376;0.652936;0.592406;0.539059;
0.862972;0.823441;0.786517;0.728802;0.688867;0.655160;0.596562;0.544020;
0.862409;0.822874;0.785837;0.728509;0.688965;0.655443;0.596722;0.544290;
0.859635;0.820189;0.783060;0.729476;0.689108;0.655671;0.596969;0.544466;
0.858545;0.818789;0.782015;0.730563;0.689157;0.655824;0.597119;0.544593;
0.857002;0.817028;0.779876;0.733372;0.689557;0.655915;0.597298;0.544596;
0.856950;0.817135;0.779287;0.736940;0.689935;0.655853;0.597181;0.544801;
0.857432;0.817552;0.778431;0.738861;0.690091;0.655599;0.597386;0.544993;
0.857881;0.818665;0.777640;0.737982;0.689850;0.655736;0.597204;0.544857;
0.860303;0.821364;0.777562;0.734235;0.689118;0.655299;0.597028;0.544749;
0.869261;0.828844;0.780736;0.726963;0.689040;0.655465;0.597314;0.545062;
0.883473;0.844808;0.788177;0.730599;0.691351;0.657181;0.598743;0.545885;
0.889648;0.857005;0.805072;0.755980;0.697679;0.655098;0.595130;0.540934;
