thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.130506;0.061904;0.024005;0.007308;0.000962;0.000001;0.000000;0.000000;0.000000;0.000000;
0.158608;0.090522;0.052263;0.028841;0.015301;0.006746;0.002525;0.000539;0.000031;0.000000;
0.153797;0.070136;0.028383;0.009516;0.002550;0.000990;0.000321;0.000000;0.000000;0.000000;
0.141794;0.074389;0.041219;0.021722;0.011456;0.006223;0.002344;0.000087;0.000000;0.000000;
0.151877;0.087440;0.057562;0.038490;0.021569;0.003376;0.000054;0.000000;0.000000;0.000000;
0.134909;0.066512;0.034213;0.020369;0.012611;0.007023;0.003415;0.001587;0.000212;0.000000;
0.078261;0.028111;0.009987;0.001772;0.000221;0.000002;0.000000;0.000000;0.000000;0.000000;
0.046576;0.018351;0.007590;0.001725;0.000051;0.000000;0.000000;0.000000;0.000000;0.000000;
0.098079;0.055962;0.025089;0.003993;0.000103;0.000001;0.000000;0.000000;0.000000;0.000000;
0.073346;0.035116;0.014180;0.004474;0.000290;0.000015;0.000010;0.000010;0.000003;0.000000;
0.084249;0.041487;0.019236;0.007424;0.003126;0.000298;0.000064;0.000016;0.000000;0.000000;
0.082320;0.041879;0.017593;0.006090;0.002466;0.000408;0.000084;0.000000;0.000000;0.000000;
0.134313;0.085049;0.055458;0.035563;0.019794;0.010437;0.005075;0.002714;0.000278;0.000000;
0.166951;0.097686;0.053761;0.026113;0.010878;0.003213;0.000206;0.000018;0.000000;0.000000;
0.113407;0.058447;0.026292;0.004361;0.000153;0.000000;0.000000;0.000000;0.000000;0.000000;
0.110383;0.057530;0.023330;0.005855;0.000545;0.000252;0.000155;0.000069;0.000008;0.000000;
0.154614;0.093850;0.066855;0.048435;0.031547;0.016230;0.007008;0.005559;0.004467;0.003354;
0.232375;0.154351;0.103666;0.067972;0.035634;0.017424;0.008486;0.001739;0.000143;0.000000;
0.172708;0.106081;0.067364;0.038598;0.019668;0.010983;0.006651;0.001960;0.000036;0.000000;
0.152541;0.082223;0.041604;0.020880;0.006413;0.001206;0.000412;0.000225;0.000073;0.000014;
0.098338;0.047941;0.021943;0.004801;0.000767;0.000144;0.000000;0.000000;0.000000;0.000000;
0.102584;0.053711;0.030202;0.016395;0.003364;0.000747;0.000000;0.000000;0.000000;0.000000;
0.147382;0.084328;0.053724;0.039657;0.029959;0.022048;0.012862;0.002901;0.000028;0.000003;
0.151800;0.080446;0.044508;0.020859;0.006373;0.001976;0.001229;0.000553;0.000003;0.000000;
0.151646;0.088030;0.044712;0.020357;0.006440;0.000902;0.000117;0.000000;0.000000;0.000000;
0.142786;0.081430;0.042687;0.021851;0.011168;0.004291;0.001217;0.000600;0.000204;0.000004;
0.179339;0.094925;0.045647;0.018475;0.006904;0.000883;0.000011;0.000000;0.000000;0.000000;
0.205438;0.115554;0.069918;0.045887;0.031414;0.019920;0.012268;0.009298;0.005906;0.002105;
0.182433;0.098545;0.052486;0.028467;0.013086;0.003627;0.000089;0.000000;0.000000;0.000000;
0.082361;0.026873;0.007735;0.001246;0.000239;0.000111;0.000000;0.000000;0.000000;0.000000;
0.110184;0.052489;0.025191;0.013046;0.004244;0.000530;0.000000;0.000000;0.000000;0.000000;
0.102398;0.049784;0.016324;0.002126;0.000514;0.000104;0.000000;0.000000;0.000000;0.000000;
0.140165;0.096482;0.077381;0.066443;0.057385;0.044946;0.027510;0.014846;0.009482;0.007061;
0.111816;0.050906;0.019740;0.008115;0.003081;0.000488;0.000042;0.000000;0.000000;0.000000;
0.100676;0.051964;0.026336;0.013745;0.010908;0.009345;0.007690;0.006151;0.004036;0.001059;
0.143000;0.074552;0.038723;0.018843;0.005157;0.000773;0.000016;0.000000;0.000000;0.000000;
0.098832;0.046814;0.024523;0.009448;0.003845;0.001351;0.000110;0.000000;0.000000;0.000000;
0.128150;0.070370;0.044697;0.033243;0.026974;0.019574;0.012071;0.006492;0.004735;0.003161;
0.121187;0.054257;0.018130;0.004127;0.000446;0.000000;0.000000;0.000000;0.000000;0.000000;
0.124862;0.063243;0.025054;0.005474;0.001526;0.000162;0.000001;0.000000;0.000000;0.000000;
0.155406;0.097201;0.065211;0.038631;0.022820;0.014465;0.009441;0.005998;0.004176;0.002503;
0.143710;0.069154;0.030356;0.012360;0.005604;0.002112;0.000428;0.000018;0.000000;0.000000;
0.122509;0.065267;0.045114;0.031634;0.016608;0.005726;0.001593;0.000000;0.000000;0.000000;
0.112635;0.055495;0.030650;0.012733;0.005285;0.002369;0.000908;0.000000;0.000000;0.000000;
0.078353;0.033223;0.010015;0.001210;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.089477;0.041939;0.021556;0.010337;0.003580;0.000498;0.000000;0.000000;0.000000;0.000000;
0.167033;0.108757;0.084928;0.070067;0.055648;0.035879;0.023703;0.014453;0.004301;0.001012;
0.117648;0.059447;0.030456;0.014990;0.005715;0.001431;0.000413;0.000000;0.000000;0.000000;
0.172169;0.105808;0.065817;0.031672;0.013342;0.006961;0.002869;0.000313;0.000000;0.000000;
0.180516;0.111294;0.073367;0.052499;0.034453;0.017198;0.005009;0.001174;0.000193;0.000000;
0.154699;0.085461;0.044168;0.020073;0.006134;0.002983;0.001939;0.000801;0.000074;0.000000;
0.170244;0.094587;0.057491;0.040928;0.028256;0.018202;0.008799;0.004118;0.000723;0.000015;
0.100588;0.047651;0.021829;0.006661;0.002038;0.000446;0.000005;0.000000;0.000000;0.000000;
0.137355;0.078491;0.042448;0.019311;0.006809;0.001209;0.000293;0.000184;0.000086;0.000000;
0.179499;0.113475;0.079052;0.054323;0.034383;0.020357;0.008486;0.002435;0.000521;0.000130;
0.243483;0.167804;0.119027;0.085845;0.057283;0.034006;0.021207;0.011451;0.003103;0.000855;
0.208006;0.127409;0.086686;0.057601;0.032507;0.016674;0.008915;0.003964;0.001670;0.000105;
0.258090;0.185031;0.130672;0.087380;0.053123;0.031330;0.014052;0.005334;0.001478;0.000113;
0.245060;0.144431;0.087056;0.050248;0.027099;0.014398;0.005955;0.002232;0.000612;0.000010;
0.211257;0.128847;0.071465;0.037852;0.019825;0.008933;0.004090;0.001788;0.000633;0.000049;
0.154956;0.091383;0.052590;0.024978;0.011009;0.005296;0.002424;0.001051;0.000000;0.000000;
0.112028;0.050779;0.021396;0.004812;0.000370;0.000011;0.000000;0.000000;0.000000;0.000000;
0.154062;0.086967;0.052553;0.033483;0.017141;0.008651;0.006656;0.001807;0.000000;0.000000;
0.157274;0.093169;0.064106;0.045927;0.035604;0.024601;0.014204;0.006247;0.000201;0.000000;
0.145520;0.082001;0.045148;0.022713;0.010949;0.006048;0.002772;0.000386;0.000000;0.000000;
0.083674;0.044766;0.028741;0.021990;0.014095;0.008294;0.004312;0.003072;0.001315;0.000143;
0.097860;0.046681;0.024280;0.010004;0.002065;0.000101;0.000000;0.000000;0.000000;0.000000;
0.077007;0.039625;0.018707;0.007082;0.002467;0.000388;0.000000;0.000000;0.000000;0.000000;
0.155873;0.097139;0.057194;0.033848;0.020089;0.013342;0.008529;0.004672;0.000902;0.000000;
0.120967;0.066349;0.037811;0.023097;0.012511;0.003937;0.000322;0.000000;0.000000;0.000000;
0.222786;0.143277;0.091635;0.056727;0.037599;0.021425;0.007936;0.001811;0.000115;0.000000;
0.190429;0.113646;0.064569;0.034912;0.015624;0.006276;0.001744;0.000281;0.000002;0.000000;
0.176587;0.103612;0.054524;0.024112;0.007134;0.002196;0.000582;0.000000;0.000000;0.000000;
0.174945;0.106648;0.071140;0.049785;0.034862;0.023739;0.013470;0.009154;0.005425;0.002074;
0.104674;0.053806;0.032079;0.016937;0.009199;0.003615;0.000550;0.000015;0.000000;0.000000;
0.092642;0.050368;0.023563;0.009476;0.004110;0.001304;0.000140;0.000026;0.000000;0.000000;
0.161794;0.092716;0.054035;0.029005;0.015090;0.008160;0.003288;0.001137;0.000044;0.000000;
0.082042;0.035433;0.016530;0.007887;0.002942;0.000872;0.000140;0.000000;0.000000;0.000000;
0.148368;0.084242;0.052160;0.034438;0.024061;0.018325;0.013149;0.007127;0.001883;0.000029;
0.053062;0.019771;0.004643;0.000788;0.000051;0.000000;0.000000;0.000000;0.000000;0.000000;
0.051953;0.018961;0.006226;0.001710;0.000587;0.000002;0.000000;0.000000;0.000000;0.000000;
0.093214;0.044857;0.024627;0.010849;0.001600;0.000394;0.000001;0.000000;0.000000;0.000000;
0.062722;0.026302;0.008036;0.001918;0.000086;0.000031;0.000000;0.000000;0.000000;0.000000;
0.078553;0.034976;0.014263;0.002409;0.000015;0.000000;0.000000;0.000000;0.000000;0.000000;
0.135047;0.073098;0.043545;0.027643;0.016151;0.010309;0.006428;0.002485;0.000570;0.000000;
0.098570;0.048257;0.023569;0.009505;0.003971;0.000837;0.000010;0.000000;0.000000;0.000000;
0.086049;0.037975;0.013805;0.002893;0.000267;0.000004;0.000000;0.000000;0.000000;0.000000;
0.183950;0.107931;0.055815;0.022201;0.007429;0.002266;0.000693;0.000181;0.000020;0.000000;
0.153737;0.091226;0.055316;0.032591;0.016939;0.008757;0.002824;0.001151;0.000264;0.000000;
0.164457;0.094275;0.053304;0.034732;0.022836;0.017509;0.012269;0.005405;0.000002;0.000000;
