thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.999977;0.989336;0.982129;0.981172;0.910260;0.666891;0.408372;0.295615;
0.792282;0.501781;0.299860;0.200866;0.126439;0.066745;0.018721;0.001003;
0.791846;0.500091;0.299609;0.200602;0.126956;0.067021;0.019238;0.001051;
0.797637;0.503307;0.299531;0.201318;0.127074;0.067161;0.019492;0.001113;
0.794440;0.500329;0.298659;0.200765;0.126872;0.067363;0.019486;0.001152;
0.793372;0.499183;0.298444;0.200479;0.126641;0.067012;0.019346;0.001087;
0.799928;0.503021;0.300055;0.201312;0.127314;0.067412;0.019398;0.001165;
0.794710;0.499876;0.298125;0.200664;0.126611;0.066810;0.019082;0.001126;
0.795820;0.500195;0.297744;0.200505;0.126517;0.066768;0.018971;0.001117;
0.804382;0.505479;0.297865;0.200397;0.127106;0.067070;0.018962;0.001051;
0.798597;0.499147;0.296927;0.200137;0.126367;0.066637;0.018509;0.001029;
0.798984;0.499378;0.297415;0.200361;0.126514;0.066823;0.018717;0.001064;
0.802425;0.503356;0.298590;0.200586;0.127142;0.067161;0.019535;0.001087;
0.797773;0.499284;0.298190;0.200726;0.126647;0.067318;0.019398;0.001081;
0.796992;0.499411;0.297106;0.200342;0.126748;0.067217;0.019111;0.001077;
0.797458;0.499316;0.297826;0.200544;0.126878;0.067428;0.019499;0.001123;
0.796631;0.499307;0.298118;0.200544;0.126729;0.067380;0.019600;0.001159;
0.795365;0.499297;0.297871;0.200924;0.127051;0.067406;0.019710;0.001152;
0.801667;0.503548;0.299743;0.201426;0.127539;0.067829;0.019531;0.001130;
0.800850;0.505775;0.300290;0.201481;0.127389;0.067529;0.019137;0.001012;
0.801628;0.504938;0.301094;0.202044;0.127305;0.067223;0.019199;0.001117;
0.802191;0.503320;0.298997;0.201335;0.127227;0.067301;0.019365;0.001094;
0.795905;0.501576;0.298271;0.200990;0.127080;0.067354;0.019430;0.001104;
0.798219;0.504378;0.298883;0.201185;0.127292;0.067396;0.019495;0.001149;
0.796494;0.504421;0.298402;0.201025;0.126803;0.067184;0.018965;0.001022;
0.793633;0.500817;0.297848;0.200846;0.126696;0.066862;0.018903;0.001038;
0.800465;0.506094;0.299928;0.201061;0.127298;0.067253;0.019062;0.001068;
0.795902;0.501204;0.298470;0.200697;0.126807;0.066794;0.019062;0.001051;
0.803874;0.506019;0.298691;0.201048;0.127064;0.066973;0.018997;0.001117;
0.804248;0.506654;0.299098;0.201325;0.127178;0.067119;0.018997;0.000970;
0.797406;0.504014;0.298717;0.201169;0.126533;0.067025;0.019378;0.001061;
0.798031;0.504183;0.298913;0.200866;0.126826;0.067031;0.019154;0.001035;
0.796224;0.501077;0.298952;0.200885;0.126686;0.066419;0.018574;0.000993;
0.795742;0.501400;0.299066;0.201152;0.126582;0.066562;0.018805;0.001009;
0.796484;0.505648;0.298903;0.200807;0.126462;0.065928;0.017780;0.000785;
0.797913;0.504844;0.297598;0.200612;0.126175;0.065527;0.016673;0.000638;
0.795872;0.503939;0.296855;0.200124;0.126413;0.065983;0.018099;0.000892;
0.796035;0.504482;0.297334;0.200811;0.126501;0.066992;0.019160;0.001022;
0.796481;0.502939;0.298854;0.200915;0.126143;0.066569;0.019232;0.001064;
0.795208;0.503633;0.298822;0.200583;0.126706;0.066426;0.019095;0.001022;
0.802689;0.509046;0.300378;0.201777;0.126165;0.067272;0.019069;0.000732;
0.797624;0.503493;0.299593;0.200960;0.125716;0.066901;0.018555;0.000850;
0.794460;0.505537;0.298359;0.200785;0.126198;0.065856;0.017630;0.000723;
0.803242;0.508831;0.299704;0.201136;0.126426;0.065342;0.016956;0.000745;
0.804277;0.507402;0.299069;0.201387;0.126755;0.065785;0.017438;0.000716;
0.803372;0.511038;0.299248;0.201247;0.126426;0.066354;0.018255;0.000892;
0.801042;0.504570;0.298031;0.201165;0.125667;0.065811;0.018376;0.000889;
0.802272;0.508415;0.300013;0.201077;0.126501;0.065944;0.018402;0.000999;
0.805632;0.511097;0.301237;0.201657;0.126022;0.064948;0.015215;0.000404;
0.809964;0.514805;0.301979;0.201930;0.126891;0.064694;0.018066;0.000817;
0.806074;0.515137;0.300387;0.200202;0.124818;0.062184;0.013955;0.000202;
0.809766;0.517933;0.301758;0.200531;0.124186;0.057773;0.007786;0.000033;
0.813542;0.518057;0.300729;0.199531;0.119414;0.058734;0.009261;0.000010;
0.811449;0.512406;0.301436;0.199714;0.117998;0.054225;0.007507;0.000007;
0.803434;0.512770;0.300267;0.197936;0.123327;0.062399;0.015186;0.000348;
0.810348;0.508281;0.300163;0.198379;0.123532;0.063763;0.016006;0.000990;
0.816953;0.512467;0.299170;0.198724;0.124355;0.064131;0.017295;0.000944;
0.825335;0.518366;0.301338;0.201273;0.121260;0.064290;0.017552;0.000937;
0.825439;0.522793;0.302969;0.200726;0.122852;0.063444;0.015059;0.000804;
0.838841;0.518952;0.301816;0.200472;0.124681;0.063760;0.015576;0.000596;
0.847493;0.516934;0.299694;0.200505;0.125016;0.063913;0.015791;0.000586;
0.835690;0.516468;0.301774;0.201025;0.123965;0.064723;0.016764;0.000697;
0.822936;0.514515;0.298789;0.199876;0.125628;0.065215;0.017650;0.000915;
0.820238;0.515889;0.299554;0.201546;0.126410;0.066270;0.016891;0.000501;
0.823066;0.514814;0.299857;0.201475;0.126484;0.066257;0.017956;0.000837;
0.815007;0.515078;0.301016;0.201618;0.126224;0.066826;0.017542;0.000863;
0.808105;0.513919;0.299342;0.201074;0.126012;0.064030;0.017214;0.000605;
0.810817;0.513766;0.300335;0.201237;0.126357;0.064385;0.016224;0.000358;
0.804160;0.510342;0.299593;0.201478;0.125537;0.063275;0.015007;0.000658;
0.814795;0.515003;0.300664;0.201481;0.126035;0.062500;0.009857;0.000104;
0.808861;0.516364;0.299844;0.200329;0.124385;0.061227;0.012135;0.000358;
0.802061;0.516549;0.301107;0.193451;0.111139;0.047363;0.005986;0.000023;
0.813750;0.524974;0.300934;0.199603;0.115137;0.030387;0.001286;0.000000;
0.815866;0.517122;0.301940;0.199954;0.125618;0.061576;0.013050;0.000199;
0.812604;0.517285;0.302171;0.200322;0.125960;0.061787;0.012705;0.000420;
0.825869;0.523132;0.301071;0.201748;0.124922;0.060273;0.014593;0.000277;
0.839977;0.527500;0.300654;0.199443;0.124408;0.060101;0.013053;0.000107;
0.851012;0.528981;0.302985;0.200208;0.122308;0.059648;0.011250;0.000143;
0.843555;0.526527;0.302536;0.199186;0.124375;0.059440;0.013258;0.000091;
0.863874;0.533978;0.303281;0.199661;0.123460;0.060599;0.012458;0.000391;
0.872448;0.533818;0.302555;0.202096;0.124661;0.062409;0.013057;0.000163;
0.864215;0.526875;0.302126;0.202327;0.125068;0.060615;0.012103;0.000068;
0.846576;0.522799;0.299967;0.200690;0.121898;0.055583;0.011452;0.000326;
0.842318;0.524772;0.301351;0.199427;0.122204;0.058880;0.012074;0.000098;
0.840518;0.523721;0.301608;0.201009;0.123154;0.057139;0.010837;0.000039;
0.823398;0.515986;0.301989;0.201833;0.124336;0.063984;0.015651;0.000586;
0.823278;0.513753;0.300732;0.200882;0.125872;0.064329;0.017728;0.000924;
0.835505;0.522852;0.302064;0.201768;0.126794;0.066025;0.016595;0.000924;
0.834121;0.518096;0.300247;0.201003;0.126361;0.065892;0.017334;0.000937;
